quarter,variable,value,country
1977-07-01,GDP,168568,Australia
1977-10-01,GDP,168041,Australia
1978-01-01,GDP,169212,Australia
1978-04-01,GDP,170637,Australia
1978-07-01,GDP,173231,Australia
1978-10-01,GDP,174637,Australia
1979-01-01,GDP,179443,Australia
1979-04-01,GDP,176553,Australia
1979-07-01,GDP,178193,Australia
1979-10-01,GDP,181623,Australia
1980-01-01,GDP,182478,Australia
1980-04-01,GDP,182929,Australia
1980-07-01,GDP,183921,Australia
1980-10-01,GDP,187071,Australia
1981-01-01,GDP,187774,Australia
1981-04-01,GDP,190698,Australia
1981-07-01,GDP,194547,Australia
1981-10-01,GDP,193750,Australia
1982-01-01,GDP,192200,Australia
1982-04-01,GDP,193912,Australia
1982-07-01,GDP,192629,Australia
1982-10-01,GDP,189529,Australia
1983-01-01,GDP,187699,Australia
1983-04-01,GDP,187316,Australia
1983-07-01,GDP,192527,Australia
1983-10-01,GDP,195767,Australia
1984-01-01,GDP,200551,Australia
1984-04-01,GDP,202889,Australia
1984-07-01,GDP,204764,Australia
1984-10-01,GDP,206003,Australia
1985-01-01,GDP,209049,Australia
1985-04-01,GDP,213735,Australia
1985-07-01,GDP,216480,Australia
1985-10-01,GDP,215860,Australia
1986-01-01,GDP,217343,Australia
1986-04-01,GDP,216958,Australia
1986-07-01,GDP,217525,Australia
1986-10-01,GDP,221103,Australia
1987-01-01,GDP,223306,Australia
1987-04-01,GDP,226866,Australia
1987-07-01,GDP,230949,Australia
1987-10-01,GDP,235613,Australia
1988-01-01,GDP,236601,Australia
1988-04-01,GDP,236843,Australia
1988-07-01,GDP,238732,Australia
1988-10-01,GDP,242652,Australia
1989-01-01,GDP,244896,Australia
1989-04-01,GDP,250189,Australia
1989-07-01,GDP,252318,Australia
1989-10-01,GDP,251641,Australia
1990-01-01,GDP,253527,Australia
1990-04-01,GDP,253871,Australia
1990-07-01,GDP,252550,Australia
1990-10-01,GDP,253941,Australia
1991-01-01,GDP,250751,Australia
1991-04-01,GDP,250227,Australia
1991-07-01,GDP,251370,Australia
1991-10-01,GDP,251546,Australia
1992-01-01,GDP,253539,Australia
1992-04-01,GDP,255375,Australia
1992-07-01,GDP,257851,Australia
1992-10-01,GDP,263251,Australia
1993-01-01,GDP,265076,Australia
1993-04-01,GDP,266590,Australia
1993-07-01,GDP,266912,Australia
1993-10-01,GDP,271795,Australia
1994-01-01,GDP,276328,Australia
1994-04-01,GDP,279621,Australia
1994-07-01,GDP,281753,Australia
1994-10-01,GDP,284861,Australia
1995-01-01,GDP,284635,Australia
1995-04-01,GDP,285991,Australia
1995-07-01,GDP,292600,Australia
1995-10-01,GDP,292553,Australia
1996-01-01,GDP,297073,Australia
1996-04-01,GDP,298975,Australia
1996-07-01,GDP,301360,Australia
1996-10-01,GDP,304237,Australia
1997-01-01,GDP,306372,Australia
1997-04-01,GDP,315511,Australia
1997-07-01,GDP,315980,Australia
1997-10-01,GDP,320541,Australia
1998-01-01,GDP,322496,Australia
1998-04-01,GDP,325871,Australia
1998-07-01,GDP,331940,Australia
1998-10-01,GDP,337084,Australia
1999-01-01,GDP,339593,Australia
1999-04-01,GDP,340877,Australia
1999-07-01,GDP,344646,Australia
1999-10-01,GDP,350510,Australia
2000-01-01,GDP,351882,Australia
2000-04-01,GDP,355304,Australia
2000-07-01,GDP,356301,Australia
2000-10-01,GDP,354898,Australia
2001-01-01,GDP,358245,Australia
2001-04-01,GDP,361385,Australia
2001-07-01,GDP,365519,Australia
2001-10-01,GDP,369880,Australia
2002-01-01,GDP,372763,Australia
2002-04-01,GDP,379182,Australia
2002-07-01,GDP,380118,Australia
2002-10-01,GDP,383312,Australia
2003-01-01,GDP,384195,Australia
2003-04-01,GDP,385697,Australia
2003-07-01,GDP,392275,Australia
2003-10-01,GDP,398941,Australia
2004-01-01,GDP,401918,Australia
2004-04-01,GDP,404879,Australia
2004-07-01,GDP,407620,Australia
2004-10-01,GDP,410742,Australia
2005-01-01,GDP,414115,Australia
2005-04-01,GDP,415961,Australia
2005-07-01,GDP,420475,Australia
2005-10-01,GDP,424019,Australia
2006-01-01,GDP,424302,Australia
2006-04-01,GDP,425319,Australia
2006-07-01,GDP,431834,Australia
2006-10-01,GDP,437260,Australia
2007-01-01,GDP,443222,Australia
2007-04-01,GDP,445997,Australia
2007-07-01,GDP,451367,Australia
2007-10-01,GDP,453019,Australia
2008-01-01,GDP,458046,Australia
2008-04-01,GDP,459602,Australia
2008-07-01,GDP,462856,Australia
2008-10-01,GDP,460883,Australia
2009-01-01,GDP,465520,Australia
2009-04-01,GDP,468393,Australia
2009-07-01,GDP,470051,Australia
2009-10-01,GDP,473826,Australia
2010-01-01,GDP,475934,Australia
2010-04-01,GDP,478897,Australia
2010-07-01,GDP,482263,Australia
2010-10-01,GDP,486297,Australia
2011-01-01,GDP,484880,Australia
2011-04-01,GDP,490736,Australia
2011-07-01,GDP,497576,Australia
2011-10-01,GDP,503103,Australia
2012-01-01,GDP,508346,Australia
2012-04-01,GDP,511993,Australia
2012-07-01,GDP,515127,Australia
2012-10-01,GDP,517401,Australia
2013-01-01,GDP,520088,Australia
2013-04-01,GDP,522049,Australia
2013-07-01,GDP,526342,Australia
2013-10-01,GDP,530443,Australia
2014-01-01,GDP,534596,Australia
2014-04-01,GDP,537251,Australia
2014-07-01,GDP,539398,Australia
2014-10-01,GDP,541382,Australia
2015-01-01,GDP,546644,Australia
2015-04-01,GDP,547280,Australia
2015-07-01,GDP,552608,Australia
2015-10-01,GDP,556039,Australia
2016-01-01,GDP,561153,Australia
2016-04-01,GDP,564830,Australia
2016-07-01,GDP,564770,Australia
2016-10-01,GDP,571362,Australia
2017-01-01,GDP,573174,Australia
2017-04-01,GDP,576571,Australia
2017-07-01,GDP,582020,Australia
2017-10-01,GDP,584356,Australia
2018-01-01,GDP,590443,Australia
2018-04-01,GDP,594757,Australia
2018-07-01,GDP,596981,Australia
2018-10-01,GDP,598528,Australia
2019-01-01,GDP,602960,Australia
2019-04-01,GDP,604702,Australia
2019-07-01,GDP,608205,Australia
2019-10-01,GDP,611838,Australia
2020-01-01,GDP,610616,Australia
2020-04-01,GDP,569302,Australia
2020-07-01,GDP,589061,Australia
2020-10-01,GDP,609132,Australia
2021-01-01,GDP,622533,Australia
2021-04-01,GDP,627402,Australia
2021-07-01,GDP,616635,Australia
2021-10-01,GDP,638966,Australia
2022-01-01,GDP,645302,Australia
2022-04-01,GDP,651345,Australia
2022-07-01,GDP,654601,Australia
2022-10-01,GDP,659723,Australia
2023-01-01,GDP,663371,Australia
2023-04-01,GDP,666020,Australia
2023-07-01,GDP,668997,Australia
2023-10-01,GDP,668330,Australia
2024-01-01,GDP,670670,Australia
2024-04-01,GDP,672028,Australia
2024-07-01,GDP,674335,Australia
2024-10-01,GDP,676456,Australia
2025-01-01,GDP,679361,Australia
2025-04-01,GDP,685128,Australia
2025-07-01,GDP,688317,Australia
2025-10-01,GDP,693772,Australia
1948-07-01,Inflation,2.59,Australia
1948-10-01,Inflation,2.63,Australia
1949-01-01,Inflation,2.71,Australia
1949-04-01,Inflation,2.74,Australia
1949-07-01,Inflation,2.82,Australia
1949-10-01,Inflation,2.86,Australia
1950-01-01,Inflation,2.9,Australia
1950-04-01,Inflation,3.02,Australia
1950-07-01,Inflation,3.05,Australia
1950-10-01,Inflation,3.17,Australia
1951-01-01,Inflation,3.32,Australia
1951-04-01,Inflation,3.52,Australia
1951-07-01,Inflation,3.71,Australia
1951-10-01,Inflation,3.98,Australia
1952-01-01,Inflation,4.1,Australia
1952-04-01,Inflation,4.25,Australia
1952-07-01,Inflation,4.33,Australia
1952-10-01,Inflation,4.37,Australia
1953-01-01,Inflation,4.41,Australia
1953-04-01,Inflation,4.45,Australia
1953-07-01,Inflation,4.48,Australia
1953-10-01,Inflation,4.45,Australia
1954-01-01,Inflation,4.48,Australia
1954-04-01,Inflation,4.48,Australia
1954-07-01,Inflation,4.48,Australia
1954-10-01,Inflation,4.48,Australia
1955-01-01,Inflation,4.52,Australia
1955-04-01,Inflation,4.56,Australia
1955-07-01,Inflation,4.6,Australia
1955-10-01,Inflation,4.64,Australia
1956-01-01,Inflation,4.68,Australia
1956-04-01,Inflation,4.83,Australia
1956-07-01,Inflation,4.95,Australia
1956-10-01,Inflation,4.95,Australia
1957-01-01,Inflation,4.95,Australia
1957-04-01,Inflation,4.99,Australia
1957-07-01,Inflation,4.99,Australia
1957-10-01,Inflation,4.99,Australia
1958-01-01,Inflation,5.03,Australia
1958-04-01,Inflation,5.03,Australia
1958-07-01,Inflation,5.03,Australia
1958-10-01,Inflation,5.06,Australia
1959-01-01,Inflation,5.1,Australia
1959-04-01,Inflation,5.1,Australia
1959-07-01,Inflation,5.14,Australia
1959-10-01,Inflation,5.18,Australia
1960-01-01,Inflation,5.22,Australia
1960-04-01,Inflation,5.3,Australia
1960-07-01,Inflation,5.37,Australia
1960-10-01,Inflation,5.41,Australia
1961-01-01,Inflation,5.45,Australia
1961-04-01,Inflation,5.49,Australia
1961-07-01,Inflation,5.45,Australia
1961-10-01,Inflation,5.45,Australia
1962-01-01,Inflation,5.45,Australia
1962-04-01,Inflation,5.45,Australia
1962-07-01,Inflation,5.45,Australia
1962-10-01,Inflation,5.45,Australia
1963-01-01,Inflation,5.45,Australia
1963-04-01,Inflation,5.45,Australia
1963-07-01,Inflation,5.49,Australia
1963-10-01,Inflation,5.49,Australia
1964-01-01,Inflation,5.53,Australia
1964-04-01,Inflation,5.57,Australia
1964-07-01,Inflation,5.64,Australia
1964-10-01,Inflation,5.68,Australia
1965-01-01,Inflation,5.72,Australia
1965-04-01,Inflation,5.8,Australia
1965-07-01,Inflation,5.84,Australia
1965-10-01,Inflation,5.91,Australia
1966-01-01,Inflation,5.95,Australia
1966-04-01,Inflation,5.99,Australia
1966-07-01,Inflation,5.99,Australia
1966-10-01,Inflation,6.07,Australia
1967-01-01,Inflation,6.11,Australia
1967-04-01,Inflation,6.15,Australia
1967-07-01,Inflation,6.26,Australia
1967-10-01,Inflation,6.26,Australia
1968-01-01,Inflation,6.3,Australia
1968-04-01,Inflation,6.34,Australia
1968-07-01,Inflation,6.38,Australia
1968-10-01,Inflation,6.42,Australia
1969-01-01,Inflation,6.49,Australia
1969-04-01,Inflation,6.53,Australia
1969-07-01,Inflation,6.57,Australia
1969-10-01,Inflation,6.61,Australia
1970-01-01,Inflation,6.69,Australia
1970-04-01,Inflation,6.77,Australia
1970-07-01,Inflation,6.8,Australia
1970-10-01,Inflation,6.92,Australia
1971-01-01,Inflation,7,Australia
1971-04-01,Inflation,7.11,Australia
1971-07-01,Inflation,7.27,Australia
1971-10-01,Inflation,7.42,Australia
1972-01-01,Inflation,7.5,Australia
1972-04-01,Inflation,7.58,Australia
1972-07-01,Inflation,7.69,Australia
1972-10-01,Inflation,7.77,Australia
1973-01-01,Inflation,7.93,Australia
1973-04-01,Inflation,8.2,Australia
1973-07-01,Inflation,8.47,Australia
1973-10-01,Inflation,8.78,Australia
1974-01-01,Inflation,9.01,Australia
1974-04-01,Inflation,9.39,Australia
1974-07-01,Inflation,9.86,Australia
1974-10-01,Inflation,10.21,Australia
1975-01-01,Inflation,10.59,Australia
1975-04-01,Inflation,10.98,Australia
1975-07-01,Inflation,11.06,Australia
1975-10-01,Inflation,11.68,Australia
1976-01-01,Inflation,11.98,Australia
1976-04-01,Inflation,12.29,Australia
1976-07-01,Inflation,12.6,Australia
1976-10-01,Inflation,13.34,Australia
1977-01-01,Inflation,13.65,Australia
1977-04-01,Inflation,13.96,Australia
1977-07-01,Inflation,14.23,Australia
1977-10-01,Inflation,14.57,Australia
1978-01-01,Inflation,14.77,Australia
1978-04-01,Inflation,15.08,Australia
1978-07-01,Inflation,15.35,Australia
1978-10-01,Inflation,15.7,Australia
1979-01-01,Inflation,15.97,Australia
1979-04-01,Inflation,16.39,Australia
1979-07-01,Inflation,16.78,Australia
1979-10-01,Inflation,17.28,Australia
1980-01-01,Inflation,17.67,Australia
1980-04-01,Inflation,18.17,Australia
1980-07-01,Inflation,18.48,Australia
1980-10-01,Inflation,18.87,Australia
1981-01-01,Inflation,19.33,Australia
1981-04-01,Inflation,19.76,Australia
1981-07-01,Inflation,20.14,Australia
1981-10-01,Inflation,20.99,Australia
1982-01-01,Inflation,21.38,Australia
1982-04-01,Inflation,21.88,Australia
1982-07-01,Inflation,22.65,Australia
1982-10-01,Inflation,23.31,Australia
1983-01-01,Inflation,23.81,Australia
1983-04-01,Inflation,24.32,Australia
1983-07-01,Inflation,24.74,Australia
1983-10-01,Inflation,25.32,Australia
1984-01-01,Inflation,25.21,Australia
1984-04-01,Inflation,25.28,Australia
1984-07-01,Inflation,25.59,Australia
1984-10-01,Inflation,25.98,Australia
1985-01-01,Inflation,26.33,Australia
1985-04-01,Inflation,26.95,Australia
1985-07-01,Inflation,27.56,Australia
1985-10-01,Inflation,28.11,Australia
1986-01-01,Inflation,28.76,Australia
1986-04-01,Inflation,29.23,Australia
1986-07-01,Inflation,30,Australia
1986-10-01,Inflation,30.85,Australia
1987-01-01,Inflation,31.47,Australia
1987-04-01,Inflation,31.93,Australia
1987-07-01,Inflation,32.47,Australia
1987-10-01,Inflation,33.05,Australia
1988-01-01,Inflation,33.63,Australia
1988-04-01,Inflation,34.21,Australia
1988-07-01,Inflation,34.87,Australia
1988-10-01,Inflation,35.57,Australia
1989-01-01,Inflation,35.91,Australia
1989-04-01,Inflation,36.8,Australia
1989-07-01,Inflation,37.65,Australia
1989-10-01,Inflation,38.35,Australia
1990-01-01,Inflation,39.01,Australia
1990-04-01,Inflation,39.63,Australia
1990-07-01,Inflation,39.94,Australia
1990-10-01,Inflation,40.98,Australia
1991-01-01,Inflation,40.9,Australia
1991-04-01,Inflation,40.98,Australia
1991-07-01,Inflation,41.21,Australia
1991-10-01,Inflation,41.6,Australia
1992-01-01,Inflation,41.6,Australia
1992-04-01,Inflation,41.48,Australia
1992-07-01,Inflation,41.52,Australia
1992-10-01,Inflation,41.71,Australia
1993-01-01,Inflation,42.1,Australia
1993-04-01,Inflation,42.25,Australia
1993-07-01,Inflation,42.45,Australia
1993-10-01,Inflation,42.53,Australia
1994-01-01,Inflation,42.68,Australia
1994-04-01,Inflation,42.99,Australia
1994-07-01,Inflation,43.26,Australia
1994-10-01,Inflation,43.61,Australia
1995-01-01,Inflation,44.34,Australia
1995-04-01,Inflation,44.92,Australia
1995-07-01,Inflation,45.46,Australia
1995-10-01,Inflation,45.81,Australia
1996-01-01,Inflation,46,Australia
1996-04-01,Inflation,46.31,Australia
1996-07-01,Inflation,46.43,Australia
1996-10-01,Inflation,46.51,Australia
1997-01-01,Inflation,46.58,Australia
1997-04-01,Inflation,46.47,Australia
1997-07-01,Inflation,46.28,Australia
1997-10-01,Inflation,46.39,Australia
1998-01-01,Inflation,46.51,Australia
1998-04-01,Inflation,46.78,Australia
1998-07-01,Inflation,46.91,Australia
1998-10-01,Inflation,47.11,Australia
1999-01-01,Inflation,47.08,Australia
1999-04-01,Inflation,47.29,Australia
1999-07-01,Inflation,47.72,Australia
1999-10-01,Inflation,47.97,Australia
2000-01-01,Inflation,48.4,Australia
2000-04-01,Inflation,48.77,Australia
2000-07-01,Inflation,50.59,Australia
2000-10-01,Inflation,50.76,Australia
2001-01-01,Inflation,51.3,Australia
2001-04-01,Inflation,51.73,Australia
2001-07-01,Inflation,51.87,Australia
2001-10-01,Inflation,52.35,Australia
2002-01-01,Inflation,52.82,Australia
2002-04-01,Inflation,53.2,Australia
2002-07-01,Inflation,53.56,Australia
2002-10-01,Inflation,53.92,Australia
2003-01-01,Inflation,54.62,Australia
2003-04-01,Inflation,54.62,Australia
2003-07-01,Inflation,54.93,Australia
2003-10-01,Inflation,55.22,Australia
2004-01-01,Inflation,55.71,Australia
2004-04-01,Inflation,55.97,Australia
2004-07-01,Inflation,56.2,Australia
2004-10-01,Inflation,56.63,Australia
2005-01-01,Inflation,57.01,Australia
2005-04-01,Inflation,57.35,Australia
2005-07-01,Inflation,57.92,Australia
2005-10-01,Inflation,58.22,Australia
2006-01-01,Inflation,58.72,Australia
2006-04-01,Inflation,59.65,Australia
2006-07-01,Inflation,60.18,Australia
2006-10-01,Inflation,60.11,Australia
2007-01-01,Inflation,60.16,Australia
2007-04-01,Inflation,60.9,Australia
2007-07-01,Inflation,61.32,Australia
2007-10-01,Inflation,61.89,Australia
2008-01-01,Inflation,62.72,Australia
2008-04-01,Inflation,63.63,Australia
2008-07-01,Inflation,64.37,Australia
2008-10-01,Inflation,64.16,Australia
2009-01-01,Inflation,64.23,Australia
2009-04-01,Inflation,64.55,Australia
2009-07-01,Inflation,65.16,Australia
2009-10-01,Inflation,65.51,Australia
2010-01-01,Inflation,66.12,Australia
2010-04-01,Inflation,66.52,Australia
2010-07-01,Inflation,67,Australia
2010-10-01,Inflation,67.26,Australia
2011-01-01,Inflation,68.3,Australia
2011-04-01,Inflation,68.93,Australia
2011-07-01,Inflation,69.34,Australia
2011-10-01,Inflation,69.34,Australia
2012-01-01,Inflation,69.38,Australia
2012-04-01,Inflation,69.74,Australia
2012-07-01,Inflation,70.69,Australia
2012-10-01,Inflation,70.87,Australia
2013-01-01,Inflation,71.11,Australia
2013-04-01,Inflation,71.38,Australia
2013-07-01,Inflation,72.25,Australia
2013-10-01,Inflation,72.77,Australia
2014-01-01,Inflation,73.2,Australia
2014-04-01,Inflation,73.57,Australia
2014-07-01,Inflation,73.88,Australia
2014-10-01,Inflation,74.02,Australia
2015-01-01,Inflation,74.16,Australia
2015-04-01,Inflation,74.69,Australia
2015-07-01,Inflation,74.98,Australia
2015-10-01,Inflation,75.27,Australia
2016-01-01,Inflation,75.12,Australia
2016-04-01,Inflation,75.45,Australia
2016-07-01,Inflation,75.98,Australia
2016-10-01,Inflation,76.38,Australia
2017-01-01,Inflation,76.73,Australia
2017-04-01,Inflation,76.88,Australia
2017-07-01,Inflation,77.35,Australia
2017-10-01,Inflation,77.87,Australia
2018-01-01,Inflation,78.21,Australia
2018-04-01,Inflation,78.49,Australia
2018-07-01,Inflation,78.83,Australia
2018-10-01,Inflation,79.24,Australia
2019-01-01,Inflation,79.23,Australia
2019-04-01,Inflation,79.7,Australia
2019-07-01,Inflation,80.15,Australia
2019-10-01,Inflation,80.7,Australia
2020-01-01,Inflation,81,Australia
2020-04-01,Inflation,79.44,Australia
2020-07-01,Inflation,80.67,Australia
2020-10-01,Inflation,81.4,Australia
2021-01-01,Inflation,81.87,Australia
2021-04-01,Inflation,82.47,Australia
2021-07-01,Inflation,83.17,Australia
2021-10-01,Inflation,84.23,Australia
2022-01-01,Inflation,86.05,Australia
2022-04-01,Inflation,87.59,Australia
2022-07-01,Inflation,89.2,Australia
2022-10-01,Inflation,90.85,Australia
2023-01-01,Inflation,92.08,Australia
2023-04-01,Inflation,92.87,Australia
2023-07-01,Inflation,93.94,Australia
2023-10-01,Inflation,94.53,Australia
2024-01-01,Inflation,95.41,Australia
2024-04-01,Inflation,96.41,Australia
2024-07-01,Inflation,96.62,Australia
2024-10-01,Inflation,96.81,Australia
2025-01-01,Inflation,97.7,Australia
2025-04-01,Inflation,98.43,Australia
2025-07-01,Inflation,99.73,Australia
2025-10-01,Inflation,100.32,Australia
2026-01-01,Inflation,101.7,Australia
1978-01-01,Unemployment,6.4736,Australia
1978-04-01,Unemployment,6.2602,Australia
1978-07-01,Unemployment,6.3221,Australia
1978-10-01,Unemployment,6.2999,Australia
1979-01-01,Unemployment,6.3101,Australia
1979-04-01,Unemployment,6.3179,Australia
1979-07-01,Unemployment,6.2073,Australia
1979-10-01,Unemployment,6.1829,Australia
1980-01-01,Unemployment,6.027,Australia
1980-04-01,Unemployment,6.228,Australia
1980-07-01,Unemployment,6.1307,Australia
1980-10-01,Unemployment,5.9855,Australia
1981-01-01,Unemployment,5.7596,Australia
1981-04-01,Unemployment,5.506,Australia
1981-07-01,Unemployment,5.8274,Australia
1981-10-01,Unemployment,5.9648,Australia
1982-01-01,Unemployment,6.2046,Australia
1982-04-01,Unemployment,6.5643,Australia
1982-07-01,Unemployment,7.1066,Australia
1982-10-01,Unemployment,8.7921,Australia
1983-01-01,Unemployment,9.6367,Australia
1983-04-01,Unemployment,10.2264,Australia
1983-07-01,Unemployment,10.3602,Australia
1983-10-01,Unemployment,9.7066,Australia
1984-01-01,Unemployment,9.3642,Australia
1984-04-01,Unemployment,9.1343,Australia
1984-07-01,Unemployment,8.8279,Australia
1984-10-01,Unemployment,8.6315,Australia
1985-01-01,Unemployment,8.5347,Australia
1985-04-01,Unemployment,8.4496,Australia
1985-07-01,Unemployment,8.1741,Australia
1985-10-01,Unemployment,7.8614,Australia
1986-01-01,Unemployment,7.9111,Australia
1986-04-01,Unemployment,7.8,Australia
1986-07-01,Unemployment,8.2275,Australia
1986-10-01,Unemployment,8.331,Australia
1987-01-01,Unemployment,8.2769,Australia
1987-04-01,Unemployment,8.1698,Australia
1987-07-01,Unemployment,7.9776,Australia
1987-10-01,Unemployment,7.9153,Australia
1988-01-01,Unemployment,7.5165,Australia
1988-04-01,Unemployment,7.6492000000000004,Australia
1988-07-01,Unemployment,6.9191,Australia
1988-10-01,Unemployment,6.7546,Australia
1989-01-01,Unemployment,6.5959,Australia
1989-04-01,Unemployment,6.1634,Australia
1989-07-01,Unemployment,6.0053,Australia
1989-10-01,Unemployment,5.8531,Australia
1990-01-01,Unemployment,6.2304,Australia
1990-04-01,Unemployment,6.4636,Australia
1990-07-01,Unemployment,7.2277,Australia
1990-10-01,Unemployment,7.8679,Australia
1991-01-01,Unemployment,8.7325,Australia
1991-04-01,Unemployment,9.6403,Australia
1991-07-01,Unemployment,9.8331,Australia
1991-10-01,Unemployment,10.2207,Australia
1992-01-01,Unemployment,10.4164,Australia
1992-04-01,Unemployment,10.6334,Australia
1992-07-01,Unemployment,10.8265,Australia
1992-10-01,Unemployment,11.1496,Australia
1993-01-01,Unemployment,10.9024,Australia
1993-04-01,Unemployment,10.8482,Australia
1993-07-01,Unemployment,10.8911,Australia
1993-10-01,Unemployment,10.8888,Australia
1994-01-01,Unemployment,10.4407,Australia
1994-04-01,Unemployment,9.8829,Australia
1994-07-01,Unemployment,9.4776,Australia
1994-10-01,Unemployment,9.0576,Australia
1995-01-01,Unemployment,8.7661,Australia
1995-04-01,Unemployment,8.365,Australia
1995-07-01,Unemployment,8.3705,Australia
1995-10-01,Unemployment,8.3909,Australia
1996-01-01,Unemployment,8.4012,Australia
1996-04-01,Unemployment,8.4158,Australia
1996-07-01,Unemployment,8.6225,Australia
1996-10-01,Unemployment,8.6205,Australia
1997-01-01,Unemployment,8.6206,Australia
1997-04-01,Unemployment,8.4825,Australia
1997-07-01,Unemployment,8.3744,Australia
1997-10-01,Unemployment,7.9771,Australia
1998-01-01,Unemployment,7.8406,Australia
1998-04-01,Unemployment,7.7338,Australia
1998-07-01,Unemployment,7.7882,Australia
1998-10-01,Unemployment,7.3747,Australia
1999-01-01,Unemployment,7.0825,Australia
1999-04-01,Unemployment,6.8861,Australia
1999-07-01,Unemployment,6.8743,Australia
1999-10-01,Unemployment,6.6339,Australia
2000-01-01,Unemployment,6.6509,Australia
2000-04-01,Unemployment,6.302,Australia
2000-07-01,Unemployment,5.9897,Australia
2000-10-01,Unemployment,6.172,Australia
2001-01-01,Unemployment,6.3672,Australia
2001-04-01,Unemployment,6.8695,Australia
2001-07-01,Unemployment,6.8677,Australia
2001-10-01,Unemployment,6.9794,Australia
2002-01-01,Unemployment,6.6267,Australia
2002-04-01,Unemployment,6.4047,Australia
2002-07-01,Unemployment,6.2804,Australia
2002-10-01,Unemployment,6.1578,Australia
2003-01-01,Unemployment,6.0558,Australia
2003-04-01,Unemployment,6.0512,Australia
2003-07-01,Unemployment,5.9071,Australia
2003-10-01,Unemployment,5.7089,Australia
2004-01-01,Unemployment,5.5371,Australia
2004-04-01,Unemployment,5.4358,Australia
2004-07-01,Unemployment,5.4795,Australia
2004-10-01,Unemployment,5.1175,Australia
2005-01-01,Unemployment,5.107,Australia
2005-04-01,Unemployment,5.0572,Australia
2005-07-01,Unemployment,4.9586,Australia
2005-10-01,Unemployment,5.0079,Australia
2006-01-01,Unemployment,5.0447,Australia
2006-04-01,Unemployment,4.8574,Australia
2006-07-01,Unemployment,4.6784,Australia
2006-10-01,Unemployment,4.5154,Australia
2007-01-01,Unemployment,4.5498,Australia
2007-04-01,Unemployment,4.3249,Australia
2007-07-01,Unemployment,4.2552,Australia
2007-10-01,Unemployment,4.3538,Australia
2008-01-01,Unemployment,4.0856,Australia
2008-04-01,Unemployment,4.2586,Australia
2008-07-01,Unemployment,4.185,Australia
2008-10-01,Unemployment,4.441,Australia
2009-01-01,Unemployment,5.3073,Australia
2009-04-01,Unemployment,5.729,Australia
2009-07-01,Unemployment,5.6833,Australia
2009-10-01,Unemployment,5.5577,Australia
2010-01-01,Unemployment,5.3292,Australia
2010-04-01,Unemployment,5.2909,Australia
2010-07-01,Unemployment,5.125,Australia
2010-10-01,Unemployment,5.0902,Australia
2011-01-01,Unemployment,4.9677,Australia
2011-04-01,Unemployment,4.9632,Australia
2011-07-01,Unemployment,5.195,Australia
